statefip,manual,limbs,strength,body,language,oral,written,cognitive,perception,visual,hearing,vocal,year,name,total,imputed_mex,imputed_otherlat,imputed_total_lat,border_distance,border_dummy,foreign_empl,native_empl,foreign_howo,native_howo,manual_f,manual_n,limbs_f,limbs_n,strength_f,strength_n,body_f,body_n,language_f,language_n,oral_f,oral_n,written_f,written_n,cognitive_f,cognitive_n,perception_f,perception_n,visual_f,visual_n,hearing_f,hearing_n,vocal_f,vocal_n
1,0.7032607793807983,0.6994316577911377,0.7169945240020752,0.6956664323806763,0.3253519535064697,0.31317099928855896,0.3375329077243805,0.43352970480918884,0.5559707283973694,0.6672253012657166,0.6303238272666931,0.3038139045238495,1960,Alabama,809843,46.21592270286589,321.66282201194656,367.87874471481246,1314.8255530543,0,1796,730473,3629800.5,1379108488,2031271.89453125,897178565.6186523,1929299.7666015625,880040611.4127197,2102166.7890625,927453788.381958,2197583.5771484375,902179426.4013672,1694860.251953125,501521634.20973206,1868932.26171875,509954455.0871124,1520788.228515625,493088819.74632263,1722984.08203125,563523176.9644165,1867102.0927734375,717320628.4259033,2030676.0439453125,844004851.1706543,1894819.6513671875,792031402.3179932,1855026.92578125,503333506.34838104
2,0.65025794506073,0.6439639329910278,0.6609544157981873,0.652622401714325,0.36334478855133057,0.36660516262054443,0.3600843846797943,0.4449128210544586,0.542155921459198,0.6358658671379089,0.6011363863945007,0.3662356734275818,1960,Alaska,40936,0,73.05043006531282,73.05043006531282,3931.1746148093944,0,1494,29197,2625286,56893157.25,1394693.3544921875,32864589.548583984,1341996.0771484375,32571888.336914062,1473981.1796875,33105194.376220703,1427326.5244140625,33295586.360595703,1285380.4990234375,24557461.33506775,1331025.587890625,25252739.923477173,1239735.41796875,23862182.892562866,1295228.1062011719,25816454.371948242,1262412.8115234375,29788800.758789062,1287880.2138671875,33328686.106933594,1204534.1689453125,31488780.893310547,1255361.740234375,25651570.81678009
4,0.694957435131073,0.6834142208099365,0.7116777300834656,0.7029149532318115,0.32075008749961853,0.3221418559551239,0.31935834884643555,0.41550740599632263,0.536658525466919,0.6571453213691711,0.6195170879364014,0.32122310996055603,1960,Arizona,318203,8998.837628167183,135.5110575469408,9134.348685714123,214.17242358781164,1,16436,242295,31923483.25,485116528.25,20804196.342529297,304884982.180542,20151270.5625,298373479.9544678,21580382.5703125,312287762.50341797,21466278.100585938,311910264.47631836,10823125.455108643,183750673.75726318,11320701.442504883,189584030.38064575,10325549.581542969,177917318.33859253,12276827.401672363,200714675.13806152,15271845.477050781,247399681.4824829,19098830.53564453,293992823.90600586,17735263.12841797,275751028.18237305,11462102.615600586,192060116.70417786
5,0.7093826532363892,0.6971389651298523,0.7350343465805054,0.7079273462295532,0.31672215461730957,0.30797433853149414,0.3254699409008026,0.4213186502456665,0.549639105796814,0.6674624681472778,0.6195282340049744,0.29595431685447693,1960,Arkansas,392065,0,81.26969089346632,81.26969089346632,992.6354977408135,0,1495,387714,2892716.75,765298515,1833641.23046875,502947992.91296387,1738826.1591796875,488711891.99279785,1990068.677734375,526729358.5653076,1875144.626953125,508811542.9147949,1023255.5595703125,274586282.16581726,1070418.3896484375,279212253.2909088,976092.720703125,269960315.73191833,1248115.62109375,312416960.59521484,1473732.7548828125,398702228.50860596,1676958.2177734375,473524446.0683594,1434713.4619140625,436500602.2005615,1033034.236328125,272643416.81739044
6,0.6954947710037231,0.6944460868835449,0.7011441588401794,0.6910548210144043,0.32585465908050537,0.31515026092529297,0.3365590274333954,0.42440423369407654,0.5501483678817749,0.665088951587677,0.6297935247421265,0.31330034136772156,1960,California,4488967,85791.1031292481,16703.721557936973,102494.82468718509,396.2904787883216,1,354175,2970652,678505053,5664963430.75,428276442.66308594,3479226135.899658,418346101.3129883,3463940616.694092,442533995.1171875,3498116843.211426,435280356.5604248,3493826525.0561523,240602022.70532227,2268343830.561447,247281598.07540894,2283435191.128662,233922449.37490845,2253252487.645157,267111618.0296631,2437562736.407654,331555761.6873779,2961979750.2887573,394821983.93444824,3422404329.5612793,365300253.7429199,3227465699.8323975,248275665.82034302,2307818497.69001
8,0.7071089148521423,0.6952975988388062,0.7295211553573608,0.7086218595504761,0.3047936260700226,0.2993960678577423,0.31019115447998047,0.4100360870361328,0.5382274389266968,0.6504194140434265,0.6092028617858887,0.2889087200164795,1960,Colorado,454539,2019.309308646404,337.1947459970942,2356.504054643498,899.454272594243,0,13057,349638,26155449.25,727655303.25,16939096.86303711,458524473.84155273,16717599.928955078,449993044.7006836,17390588.33215332,471667413.6340332,16928474.83227539,463424383.6845703,8546581.684967041,273877141.9837799,8631523.025665283,277407944.4243469,8461640.3857421875,270346342.0155487,10405149.721679688,305460465.9243469,13223907.740356445,375150015.71588135,15605270.440673828,433706170.1130371,14276009.123535156,404257203.5291748,8810704.768661499,273784996.9462738
9,0.7014703750610352,0.7112881541252136,0.6973064541816711,0.6821308732032776,0.3262808322906494,0.30235809087753296,0.35020360350608826,0.42674070596694946,0.559964120388031,0.6715211272239685,0.6405898928642273,0.29634854197502136,1960,Connecticut,816641,0,2607.348710613836,2607.348710613836,2838.1796239047835,0,84266,549349,166115436.25,1065925659.75,108302707.36169434,663275369.8511963,109117744.84155273,672902682.064209,108891111.23706055,655462999.1099854,105529606.12646484,648972547.467041,58339136.277648926,426234659.7387085,56967174.26171875,415313683.60639954,59711099.00100708,437155640.0171051,66144746.540771484,460550610.2989502,85184858.8536377,569145786.5222168,102425121.93823242,651422040.9564209,95898423.18261719,620798702.6811523,56962194.559417725,415441073.91262054
10,0.7070924043655396,0.7045155763626099,0.7139280438423157,0.7049898505210876,0.3256646990776062,0.31603890657424927,0.3352905213832855,0.4269612431526184,0.5533207654953003,0.6656029224395752,0.6343503594398499,0.31131067872047424,1960,Delaware,130773,0,102.70924063507522,102.70924063507522,2544.299555736632,0,2691,96704,6226052.5,191243631.75,3829130.0927734375,121440564.81115723,3752154.6728515625,120179293.74804688,3993267.185546875,123098442.46276855,3816397.0068359375,122521395.04968262,2655187.9321289062,74359405.98376465,2843896.63671875,75616991.90252686,2466479.2822265625,73101820.62084961,2812278.9291992188,80708288.5949707,3244610.0966796875,99946205.57910156,3545105.7041015625,115567282.30700684,3120335.0874023438,109769295.09814453,2930466.1015625,75685943.5125122
11,0.6422476768493652,0.6398699283599854,0.6437786817550659,0.6462783217430115,0.3678739666938782,0.36635926365852356,0.3693886995315552,0.42451635003089905,0.5468970537185669,0.6272839307785034,0.5907381772994995,0.36099013686180115,1960,District of Columbia,266721,230.8336059102188,1958.3252030227836,2189.1588089330025,2409.2149905793203,0,9467,170410,18624279.5,324652273.5,9582510.577636719,186962775.69921875,9346318.544921875,178536186.8544922,9952178.5078125,196126132.33935547,9710905.263183594,196575045.1331787,8617511.6494140625,130834499.11149597,9704071.477416992,142718704.16815186,7530951.94140625,118950294.88009644,7700650.287597656,116533422.09710693,8976618.945800781,154813760.77563477,9646394.4521484375,174356623.3590088,8754157.380859375,161473605.44055176,9717701.701049805,143094717.46736145
12,0.6793810129165649,0.6665297150611877,0.6979351043701172,0.6883164644241333,0.35022610425949097,0.35156622529029846,0.34888598322868347,0.43973004817962646,0.5459604263305664,0.6574425101280212,0.621256947517395,0.3468453586101532,1960,Florida,1269320,365.87622766365536,17075.140940663976,17441.01716832763,1575.5499708171938,0,50102,1041893,94567700.75,2019503646,56741358.841674805,1242792683.543457,54759299.142456055,1202818678.2686768,59266895.22717285,1291451664.8497314,58539586.53173828,1281903955.7302246,37893609.84118652,812173556.2715759,40251196.458618164,851069373.450203,35536023.771728516,773277747.8515778,39138805.130981445,855362806.2289124,46409423.9564209,1032602859.9309082,54909816.67907715,1207617858.465088,50260709.46948242,1134804201.4049072,40734472.056274414,852334366.260416
13,0.6953580379486084,0.6911947131156921,0.7093502283096313,0.6882760524749756,0.3392121493816376,0.3280710279941559,0.3503532409667969,0.4402913749217987,0.5549210906028748,0.6675692200660706,0.6281203627586365,0.3185498118400574,1960,Georgia,1057504,48.89264697160251,296.3190725551667,345.21171952676923,1560.611675576283,0,3384,942981,6194460.5,1841058020.25,3043328.3935546875,1183965574.302246,3012951.4638671875,1159049050.9290771,3124283.5551757812,1226863498.8272705,3018076.86328125,1192634478.3930664,3270344.064758301,692686928.5526428,3383775.1753845215,707965728.2257996,3156912.9833984375,677408138.7486877,2887647.596801758,757071576.5734558,2917929.9459228516,951236823.0971069,3338168.9255371094,1123114220.7647705,2950066.6716308594,1049267998.0650635,3318278.7294921875,699735200.5455399
