occ1990,foreign_empl,native_empl,foreign_howo,native_howo,manual_f,manual_n,language_f,language_n,year,occupation,manual,limbs,strength,body,language,oral,written,cognitive,perception,visual,hearing,vocal
7,4500,139500,9184425,292425400,2088248.130859375,66488299.05810547,7646033.8125,243444145.5,1970,Financial managers,0.22736841440200806,0.2070000022649765,0.23999999463558197,0.26249998807907104,0.8324999809265137,0.7649999856948853,0.8999999761581421,0.8266666531562805,0.6520000100135803,0.4957142770290375,0.3333333432674408,0.8799999952316284
13,11000,228200,23971900,525526025,6895415.310546875,151165331.12072754,20156466.435546875,441881858.2827149,1970,"Managers and specialists in marketing, advertising, and public relations",0.28764575719833374,0.23515544831752777,0.333774596452713,0.36121052503585815,0.8408372402191162,0.8388521671295166,0.8428223729133606,0.7029702663421631,0.32749730348587036,0.4129732549190521,0.2722553312778473,0.9673997759819031
14,300,13000,422750,24629000,139729.9990234375,8140532.561523437,358280.625,20873077.5,1970,Managers in education and related fields,0.33052632212638855,0.25200000405311584,0.41999998688697815,0.41499999165534973,0.8475000262260437,0.8199999928474426,0.875,0.7091666460037231,0.46799999475479126,0.5099999904632568,0.5133333206176758,0.8700000047683716
15,1200,25000,2900000,55086425,934105.275390625,17743627.66015625,2479500,47098893.375,1970,Managers of medicine and health occupations,0.3221052587032318,0.2809999883174896,0.37599998712539673,0.35749998688697815,0.8550000190734863,0.7900000214576721,0.9200000166893005,0.8133333325386047,0.7099999785423279,0.5271428823471069,0.4166666567325592,0.75
16,300,23700,634950,50591525,199507.9765625,15896390.019042969,357159.375,28457732.8125,1970,Postmasters and mail superintendents,0.31421053409576416,0.2669999897480011,0.36399999260902405,0.3700000047683716,0.5625,0.5149999856948853,0.6100000143051147,0.76583331823349,0.5759999752044678,0.5642856955528259,0.6466666460037231,0.6100000143051147
17,18900,209700,49084425,526580175,31795315.026611328,341101735.31689453,38785953.915527344,416097661.2949219,1970,Managers of food-serving and lodging establishments,0.6477679014205933,0.6278279423713684,0.6448556780815125,0.7012581825256348,0.7901886105537415,0.8953629732131958,0.6850143074989319,0.8536531925201416,0.8147944808006287,0.6896178126335144,0.7477297782897949,0.9501957893371582
18,4800,40700,10753200,80160525,2269491.1015625,16918089.33618164,7903602,58917985.875,1970,Managers of properties and real estate,0.21105262637138367,0.16300000250339508,0.26600000262260437,0.26249998807907104,0.7350000143051147,0.6650000214576721,0.8050000071525574,0.4516666531562805,0.41600000858306885,0.4357142746448517,0.27666667103767395,0.6499999761581421
19,200,11500,415400,28365950,210760.8515625,14391987.72680664,267933,18296037.75,1970,Funeral directors,0.5073684453964233,0.5099999904632568,0.4860000014305115,0.5274999737739563,0.6449999809265137,0.8100000023841858,0.47999998927116394,0.6524999737739563,0.6079999804496765,0.7599999904632568,0.75,0.9649999737739563
22,107500,2336100,246705825,5467488875,85176679.70336914,1887683633.157959,169137656.6809082,3748424891.154541,1970,"Managers and administrators, n.e.c.",0.3452560603618622,0.30518606305122375,0.3983555734157562,0.3790566325187683,0.6855843663215637,0.687313973903656,0.6838547587394714,0.7293253540992737,0.5799486041069031,0.580968976020813,0.5584579706192017,0.7075241804122925
23,7900,184000,15285900,359688575,4836229.97265625,113800081.82617188,11076893.1953125,260647519.5859375,1970,Accountants and auditors,0.31638503074645996,0.3338053822517395,0.29919737577438354,0.2943187952041626,0.7246477603912354,0.5586376190185547,0.890657901763916,0.8631085753440857,0.589610755443573,0.5155646800994873,0.3319864571094513,0.734939694404602
28,300,12800,810900,31878200,327347.53125,12868725.889648438,472349.25,18569051.48339844,1970,"Purchasing agents and buyers, of farm products",0.40368419885635376,0.382999986410141,0.3779999911785126,0.48750001192092896,0.5824999809265137,0.6100000143051147,0.5550000071525574,0.4441666603088379,0.2240000069141388,0.47857141494750977,0.2666666805744171,0.14499999582767487
29,5700,91000,13042650,208301875,4091273.4975585938,65341011.24243164,8184262.875,130709426.5625,1970,"Buyers, wholesale and retail trade",0.31368422508239746,0.2680000066757202,0.34599998593330383,0.38749998807907104,0.6274999976158142,0.6800000071525574,0.574999988079071,0.6333333253860474,0.2939999997615814,0.39571428298950195,0.33000001311302185,0.6949999928474426
